"Year","Quarter","Expenditure"
1950,1,789
1950,2,704
1950,3,801
1950,4,803
1951,1,818
1951,2,737
1951,3,827
1951,4,823
1952,1,842
1952,2,723
1952,3,849
1952,4,876
1953,1,869
1953,2,744
1953,3,865
1953,4,816
1954,1,836
1954,2,764
1954,3,835
1954,4,819
1955,1,876
1955,2,774
1955,3,890
1955,4,868
1956,1,863
1956,2,765
1956,3,862
1956,4,892
1957,1,901
1957,2,795
1957,3,896
1957,4,874
1958,1,918
1958,2,813
1958,3,913
1958,4,900
1959,1,885
1959,2,820
1959,3,893
1959,4,903
1960,1,916
1960,2,821
1960,3,926
1960,4,916
1961,1,921
1961,2,828
1961,3,954
1961,4,896
1962,1,954
1962,2,849
1962,3,958
1962,4,940
1963,1,936
1963,2,864
1963,3,931
1963,4,944
1964,1,939
1964,2,853
1964,3,963
1964,4,933
1965,1,969
1965,2,869
1965,3,933
1965,4,916
1966,1,952
1966,2,852
1966,3,964
1966,4,922
1967,1,973
1967,2,888
1967,3,1002
1967,4,986
1968,1,1041
1968,2,918
1968,3,1020
1968,4,988
1969,1,1020
1969,2,913
1969,3,1003
1969,4,1014
1970,1,1051
1970,2,914
1970,3,1024
1970,4,1012
1971,1,1034
1971,2,951
1971,3,1003
1971,4,1008
1972,1,1032
1972,2,936
1972,3,1005
1972,4,1009
1973,1,1039
1973,2,913
1973,3,1028
1973,4,1029
1974,1,1044
1974,2,920
1974,3,1034
1974,4,1029
1975,1,1041
1975,2,971
1975,3,1063
1975,4,1070
1976,1,1046
1976,2,977
1976,3,1077
1976,4,1048
1977,1,1076
1977,2,994
1977,3,1054
1977,4,1067
1978,1,1091
1978,2,1002
1978,3,1087
1978,4,1086
1979,1,1098
1979,2,984
1979,3,1098
1979,4,1086
1980,1,1101
1980,2,1009
1980,3,1129
1980,4,1081
1981,1,1085
1981,2,1024
1981,3,1102
1981,4,1075
1982,1,1101
1982,2,1025
1982,3,1137
1982,4,1158
1983,1,1131
1983,2,1030
1983,3,1111
1983,4,1114
1984,1,1114
1984,2,1023
1984,3,1133
1984,4,1122
1985,1,1146
1985,2,1060
1985,3,1140
1985,4,1122
1986,1,1169
1986,2,1077
1986,3,1160
1986,4,1134
1987,1,1116
1987,2,1058
1987,3,1142
1987,4,1150
1988,1,1148
1988,2,1060
1988,3,1153
1988,4,1146
1989,1,1183
1989,2,1134
1989,3,1184
1989,4,1168
1990,1,1165
1990,2,1078
1990,3,1150
1990,4,1121
1991,1,1170
1991,2,1093
1991,3,1189
1991,4,1165
1992,1,1166
1992,2,1086
1992,3,1189
1992,4,1201
1993,1,1228
1993,2,1106
1993,3,1220
1993,4,1192
1994,1,1199
1994,2,1109
1994,3,1206
1994,4,1176
1995,1,1167
1995,2,1104
1995,3,1202
1995,4,1188
1996,1,1241
1996,2,1136
1996,3,1203
1996,4,1208
1997,1,1255
1997,2,1132
1997,3,1225
1997,4,1214
1998,1,1237
1998,2,1145
1998,3,1245
1998,4,1237
1999,1,1274
1999,2,1126
1999,3,1241
1999,4,1179
2000,1,1206
2000,2,1143
2000,3,1235
2000,4,1226
2001,1,1232
2001,2,1130
2001,3,1211
2001,4,1213
2002,1,1232
2002,2,1133
2002,3,1243
2002,4,1211
2003,1,1256
2003,2,1161
2003,3,1231
2003,4,1203
2004,1,1218
2004,2,1149
2004,3,1244
2004,4,1235
2005,1,1289
2005,2,1183
2005,3,1244
2005,4,1211
2006,1,1227
2006,2,1129
2006,3,1235
2006,4,1233
2007,1,1235
2007,2,1172
2007,3,1299
2007,4,1272
2008,1,1302
2008,2,1184
2008,3,1261
2008,4,1258
2009,1,1261
2009,2,1189
2009,3,1278
2009,4,1280
2010,1,1289
2010,2,1210
2010,3,1280
2010,4,1267
2011,1,1260
2011,2,1176
2011,3,1276
2011,4,1298
2012,1,1298
2012,2,1212
2012,3,1274
2012,4,1272
2013,1,1303
2013,2,1158
2013,3,1288
2013,4,1300
2014,1,1288
2014,2,1199
2014,3,1319
2014,4,1298
2015,1,1298
2015,2,1195
2015,3,1298
2015,4,1277
2016,1,1307
2016,2,1215
2016,3,1305
2016,4,1283
2017,1,1318
2017,2,1226
2017,3,1307
2017,4,1289
2018,1,1267
2018,2,1231
2018,3,1291
2018,4,1279
2019,1,1297
2019,2,1233
2019,3,1308
2019,4,1308
2020,1,1306
2020,2,1201
2020,3,1308
2020,4,1309
